id,lat,lng
380,-2.4,-79.333
381,-2.1282,-79.938
382,-1.8167,-79.517
383,-1.2417,-78.62
384,-2.1875,-79.879
385,-0.18085,-78.487
386,-2.2522,-79.884
387,-0.18485,-78.481
388,-2.1702,-79.944
389,-2.1269,-79.906
390,-2.9163,-78.992
391,-2.1108,-79.901
392,-0.20414,-78.493
393,-2.2398,-79.895
394,-2.1634,-79.898
395,-1.6634,-78.66
396,-2.1358,-79.891
397,-0.12447,-78.36
398,-2.1422,-79.867
399,-2.1254,-79.886
400,-1.0303,-79.47
401,-2.1557,-79.89
402,-0.15677,-78.48
403,-2.1789,-79.894
404,-2.1833,-79.883
405,-1.6581,-78.756
406,-1.242,-78.627
407,0.4941,-76.496
408,-2.1275,-79.906
409,-2.9076,-78.98
410,-1.8092,-79.545
411,-2.1833,-79.883
412,-0.17053,-78.477
413,-2.1243,-79.903
414,-0.16283,-78.479
415,-2.1701,-79.85
416,-2.1789,-79.903
417,-2.1758,-79.908
418,-0.12745,-78.474
419,-0.17615,-78.495
420,-2.2466,-79.889
421,-2.1833,-79.883
422,-0.30623,-78.467
423,-2.1982,-79.895
424,-2.2029,-79.893
425,-2.159,-79.898
426,-2.0984,-79.875
427,-2.1682,-79.897
428,-2.1799,-79.232
429,-0.95733,-78.697
430,-2.1574,-79.95
431,-2.1461,-79.891
432,-0.12437,-78.36
433,-2.1386,-79.888
434,-1.4715,-80.536
435,-2.1659,-79.922
436,0.36404,-78.123
437,-2.1315,-79.6
438,-0.11182,-78.507
439,-0.21315,-78.504
440,-2.1169,-79.894
441,-2.0525,-79.913
442,-2.2046,-79.884
443,-2.2202,-79.887
444,-2.1833,-79.883
445,4.6,-74.083
446,-2.2184,-79.893
447,-2.2302,-79.894
448,-2.2551,-79.874
449,-2.2276,-80.918
450,-11.93,-76.691
451,-0.18288,-78.484
452,-0.23486,-78.497
453,-0.95256,-79.354
454,-0.28088,-78.549
455,-1.2493,-78.638
456,-3.2715,-79.97
457,-0.20335,-78.491
458,-2.17,-79.915
459,-2.2769,-79.885
460,-1.6721,-78.64
461,-2.1348,-79.903
462,-2.0878,-79.942
463,1.236,-77.3
464,5.4478,-74.663
465,-0.18049,-78.478
466,1.2278,-77.286
467,-2.1828,-79.876
468,-2.1373,-79.92
469,-2.8971,-79.004
470,-2.1979,-79.909
471,-2.2246,-79.893
472,-2.2313,-80.88
473,-2.1466,-79.899
474,-0.70002,-80.095
475,-2.1793,-79.883
476,-2.1387,-79.93
477,-2.2837,-78.122
478,-2.1402,-79.927
479,-0.15616,-78.485
480,-0.25,-78.583
481,-2.1836,-79.906
482,-1.0231,-79.466
483,-2.1702,-79.899
484,-0.46278,-80.456
485,-0.70127,-80.096
486,6.3095,-75.566
487,0.96725,-79.655
488,-0.94242,-80.731
489,0.35559,-78.118
490,-2.1833,-79.883
491,-0.30019,-78.466
492,-2.2333,-79.903
493,-12.131,-76.98
494,-2.1372,-79.901
495,-1.6,-79
496,-0.10772,-78.489
497,0.35818,-78.111
498,-2.1241,-79.906
499,-2.8895,-78.995
500,-0.94538,-78.615
501,-2.161,-79.903
502,-0.25,-78.583
503,-0.2501,-78.539
504,42.342,-3.6996
505,-2.3892,-77.508
506,-2.241,-79.895
507,-2.1454,-79.966
508,12.584,-81.695
509,-0.22804,-78.488
510,-0.15951,-78.494
511,-0.94703,-80.746
512,-2.2,-79.833
513,-2.1582,-79.899
514,8.9909,-79.529
515,-2.1591,-79.929
516,-0.12536,-78.47
517,35.034,-85.156
518,-2.0417,-79.895
519,-0.12288,-78.5
520,-2.0313,-79.915
521,-0.14048,-78.499
522,-0.18435,-78.478
523,-1.3499,-80.58
524,-1.7951,-80.742
525,-2.1833,-79.883
526,-2.1218,-79.9
527,-2.1189,-79.968
528,-12.089,-77.005
529,-2.1597,-79.889
530,-2.1814,-79.884
531,-1.2474,-78.635
532,28.406,-81.477
533,-2.2235,-79.895
534,0.84291,-79.753
535,-2.1574,-79.891
536,1.2251,-77.288
537,-0.20838,-78.5
538,-0.25,-78.583
539,-12.089,-77.065
540,-12.112,-77.03
541,-0.20336,-78.491
542,-2.0911,-79.938
543,-2.173,-79.899
544,-34.582,-58.424
545,-2.1262,-79.594
546,-2.1459,-79.949
547,-2.258,-79.902
548,-2.1424,-79.889
549,-2.1451,-79.897
550,-2.1728,-79.914
551,-2.1574,-79.944
552,-12.077,-77.082
553,-0.1385,-78.501
554,40.714,-74.006
555,-0.86675,-80.539
556,-0.18618,-78.487
557,-12.089,-77.032
558,-2.1424,-79.889
559,-2.1384,-79.912
560,-0.19238,-78.483
561,-2.1833,-79.883
562,-2.1352,-79.924
563,-2.8894,-79.008
564,-2.2294,-79.898
565,-2.1573,-79.888
566,-2.0238,-79.866
567,-2.1497,-79.96
568,-2.2023,-79.883
569,36.724,-4.4308
570,-2.9022,-78.979
571,-1.054,-80.458
572,-2.0843,-79.87
573,-7.1653,-78.512
574,-1.0533,-80.458
575,-2.8826,-78.985
576,-2.1833,-79.883
577,-1.6743,-78.648
578,-2.1631,-79.899
579,-8.1833,-79.033
580,-0.95002,-80.716
581,-2.0599,-79.892
582,-2.1718,-79.908
583,-0.13547,-78.467
584,-8.1141,-79.033
585,-2.1928,-79.886
586,-2.1757,-79.897
587,-2.0244,-79.916
588,42.001,-92.908
589,-2.1833,-79.883
590,-2.1009,-79.94
591,-2.8992,-79.015
592,-1.3561,-80.591
593,-2.2274,-80.921
594,-2.1907,-79.882
595,-2.1833,-79.883
596,-1.7374,-78.598
597,-1.0554,-80.466
598,-2.1452,-79.92
599,-2.1584,-79.887
600,-2.1923,-79.881
601,25.784,-80.131
602,0.35775,-78.111
603,-0.033333,-78.8
604,-0.20674,-78.481
605,-1.0394,-80.461
606,-2.1646,-79.899
607,0.66509,-77.531
608,-2.2057,-79.898
609,-12.102,-77.061
610,-0.23493,-78.529
611,1.2006,-76.931
612,-2.1658,-79.911
613,-2.2263,-79.936
614,-2.1833,-79.883
615,-2.2215,-79.888
616,-2.134,-79.929
617,-0.088688,-78.473
618,-3.26,-79.957
619,-2.0668,-79.914
620,-1.3603,-80.592
621,-2.1289,-79.903
622,-2.1614,-79.914
623,-2.8992,-79.015
624,-2.2467,-79.9
625,-0.30549,-78.483
626,-1.4,-78.417
627,-0.25,-78.583
628,-2.9007,-79.004
629,-2.1442,-79.869
630,-2.2297,-79.895
631,-1.9648,-79.723
632,-25.039,-14.467
633,-2.1833,-79.883
634,-0.15027,-78.474
635,-2.1352,-79.905
636,-1.8302,-79.821
637,41.404,2.1739
638,-0.98098,-80.698
639,-2.1574,-79.944
640,-2.2211,-79.896
641,-2.1514,-79.907
642,-2.1299,-79.894
643,-2.1833,-79.883
644,-2.1884,-79.967
645,-0.84614,-80.164
646,-1.2417,-78.62
647,-0.1713,-78.491
648,-0.20941,-78.488
649,-1.0526,-80.485
650,-2.1833,-79.883
651,-2.0818,-79.873
652,-1.0192,-79.466
653,19.434,-99.085
654,-1.0209,-80.469
655,-3.3312,-79.805
656,-1.2368,-78.616
657,-2.1808,-79.897
658,-2.1416,-79.868
659,10.5,-66.917
660,-1.4903,-78.006
661,-0.31731,-78.461
662,-0.33393,-78.406
663,-0.96844,-80.719
664,-2.1735,-79.909
665,-2.1833,-79.883
666,-0.20268,-78.489
667,-2.1702,-79.899
668,-2.0384,-79.857
669,-2.1833,-79.883
670,-0.13384,-78.483
671,-0.95773,-78.899
672,-3.2667,-79.967
673,-2.1667,-79.9
674,-2.1904,-79.881
675,-2.2982,-78.119
676,-2.2167,-79.483
677,-2.1635,-79.9
678,-2.1831,-79.843
679,-2.0486,-79.872
680,-2.1364,-79.884
681,51.672,39.184
682,-2.1238,-79.905
683,-2.8914,-79.007
684,-2.0589,-79.887
685,-0.078961,-78.471
686,-2.1833,-79.883
687,-2.1758,-79.89
688,0.13333,-78.05
689,-12.043,-77.028
690,-1.8167,-79.517
691,-2.1575,-79.884
692,-1.0469,-79.483
693,-0.11836,-78.499
694,-2.0495,-79.899
695,-2.1762,-79.906
696,-2.1784,-79.876
697,-12.05,-77.076
698,-2.1565,-79.912
699,-12.057,-77.037
700,-0.29834,-78.569
701,-2.0998,-79.908
702,-0.16027,-78.492
703,-0.25,-78.583
704,-4.0397,-79.684
705,-0.2175,-78.42
706,-0.29382,-78.463
707,-2.1681,-79.908
708,-1.6833,-79.7
709,37.777,-3.7896
710,-2.1214,-79.901
711,-0.27242,-79.463
712,36.919,-4.446
713,-1.0721,-80.442
714,-1.2417,-78.62
715,-1.366,-79.906
716,-0.50419,-78.559
717,-12.073,-77.034
718,-2.0648,-79.91
719,-1.0437,-79.481
720,-9.1397,-78.509
721,-2.1833,-79.883
722,33.917,-118.1
723,-2.1833,-79.883
724,-0.19332,-78.485
725,4.7531,-75.915
726,-2.8992,-79.015
727,-2.2382,-79.896
728,-2.1442,-79.89
729,-2.2412,-79.895
730,-0.95002,-80.716
731,-2.2014,-80.978
732,-1.0076,-79.457
733,-5.2252,-80.627
734,-0.19987,-78.494
735,38.2,-9.36
736,-0.19152,-78.424
737,-0.20414,-78.494
738,-3.2711,-79.945
739,-2.1874,-79.957
740,-1.2098,-80.371
741,10.496,-66.913
742,50.238,-3.7669
743,-2.1482,-79.946
744,-2.2704,-79.896
745,-0.95354,-80.704
746,-2.1833,-79.883
747,-2.1528,-79.886
748,-2.2018,-79.139
749,-2.1833,-79.883
750,-0.76058,-80.512
751,-2.1296,-79.895
752,-0.95002,-80.716
753,-1.2417,-78.62
754,-0.28176,-79.19
755,-12.104,-76.963
756,-0.21298,-78.499
757,-1.4455,-79.46
758,-23.55,-46.633
759,-0.17019,-78.479
760,-2.1381,-79.905
761,-0.21944,-78.513
762,-0.14287,-78.468
763,-0.16399,-78.482
764,-12.083,-77.005
765,-2.1271,-79.902
766,-0.94636,-80.723
767,-2.16,-79.889
768,44.87,24.848
769,-2.1544,-79.899
770,-2.1651,-79.897
771,-2.8865,-79.003
772,-2.0786,-79.921
773,-0.25294,-78.522
774,-1.6385,-78.677
775,-2.1369,-79.898
776,0.33503,-78.193
777,-2.1781,-79.844
778,-0.95002,-80.716
779,-2.2257,-79.897
780,-2.1553,-79.892
781,-0.30743,-78.451
782,-2.1833,-79.883
783,-2.1614,-79.904
784,-0.25,-78.583
785,-1.5877,-80.397
786,-2.1442,-79.89
787,7.0151,-72.997
788,-2.1393,-79.586
789,-0.25617,-79.21
790,5.0636,-75.875
791,40.4,-3.8833
792,-0.11834,-78.484
793,-3.5546,-80.074
794,-2.2055,-79.904
795,-0.15139,-78.458
796,-0.17707,-78.478
797,-2.7194,-78.845
798,-2.199,-79.927
799,-2.1833,-79.883
800,-2.1811,-79.906
801,-2.1833,-79.883
802,-2.1833,-79.883
803,-2.1833,-79.883
804,-2.2134,-79.923
805,-0.071028,-78.468
806,-12.049,-77.111
807,-0.21906,-78.504
808,-2.1728,-79.462
809,-0.19918,-78.493
810,-2.907,-78.994
811,-25.313,-57.601
812,-0.25,-78.583
813,-1.056,-77.585
814,-2.2202,-79.937
815,-12.108,-77.033
816,-2.1784,-79.844
817,40.721,-74.001
818,-14.07,-75.733
819,-2.1822,-79.899
820,-2.8732,-78.967
821,0.05,-78.133
822,-1.0263,-79.459
823,-0.090878,-78.509
824,5.8164,-73.036
825,-2.095,-79.928
826,-2.1908,-79.942
827,-1.6256,-79.564
828,-1.102,-80.421
829,40.763,-73.986
830,-0.22409,-78.513
831,-2.1833,-79.883
832,-1.0893,-78.581
833,-12.099,-76.967
834,-0.33147,-78.444
835,-1.0562,-80.455
836,-1.9646,-79.726
837,-2.0498,-79.914
838,1.2524,-78.987
839,-12.095,-77.004
840,-12.087,-76.997
841,38.256,-85.747
842,-0.25,-78.583
843,-2.1442,-79.89
844,-1.6757,-78.635
845,-34.594,-58.404
846,-1.0102,-79.469
847,-2.9167,-79.039
848,-0.21207,-78.501
849,32.643,-115.51
850,-2.2144,-79.925
851,-0.27195,-78.546
852,5.692,-76.655
853,-0.20525,-78.447
854,-0.1015,-78.508
855,-0.22019,-78.51
856,-11.989,-77.092
857,0.32635,-78.218
858,-2.1833,-79.883
859,-2.6307,-80.389
860,-14.078,-75.738
861,-0.98333,-77.817
862,-2.2167,-80.967
863,-2.1367,-79.893
864,40.409,-3.694
865,40.96,-5.6667
866,-1.8033,-79.515
867,-1.8134,-79.513
868,-2.1833,-79.883
869,-31.395,-58.02
870,-1.7139,-79.392
871,-0.25,-78.583
872,-1.0486,-80.469
873,-0.17522,-78.488
874,-0.62338,-80.427
875,-0.34416,-78.446
876,-12.08,-77.024
877,-2.6438,-80.38
878,-0.14735,-78.46
879,-2.8921,-79.025
880,2.455,-76.593
881,-0.25,-78.583
882,-2.7088,-80.248
883,-0.20526,-78.488
884,-0.1852,-78.477
885,-0.0025384,-78.454
886,-2.1498,-79.941
887,-0.12433,-78.36
888,-13.514,-71.981
889,-2.8992,-79.015
890,-2.1241,-79.905
891,-1.0535,-80.66
892,-0.29945,-78.427
893,-0.08911,-78.472
894,-12.133,-77.023
895,-2.124,-79.907
896,-2.2451,-79.903
897,-6.4866,-76.375
898,-2.2215,-79.888
899,-0.24084,-79.17
900,-6.778,-79.847
901,-3.0224,-79.737
902,-2.1168,-79.92
903,-0.74076,-90.314
904,-1.5826,-79
905,-0.20546,-78.486
906,-2.0888,-79.872
907,-2.8992,-79.015
908,-0.28644,-78.54
909,0.98529,-79.655
910,-0.25,-78.583
911,-2.1281,-79.865
912,-0.23462,-78.515
913,-2.1257,-79.891
914,-0.084031,-78.428
915,-2.1833,-79.883
916,-0.26667,-79.433
917,-2.8992,-79.015
918,-2.1759,-79.905
919,35.625,-78.1
920,-1.2688,-78.634
921,-0.0024774,-78.454
922,-2.2404,-79.888
923,-2.1791,-79.876
924,-2.161,-79.93
925,-0.22012,-78.512
926,-1.3597,-80.591
927,-15.491,-70.127
928,-2.1386,-79.888
929,-2.637,-80.391
930,-1.5,-78.05
931,-2.191,-79.884
932,-2.1833,-79.883
933,0.81233,-77.847
934,-1.0333,-79.45
935,-2.2265,-80.862
936,-1.7104,-78.644
937,0.23614,-78.266
938,-5.1779,-80.641
939,-2.8554,-78.918
940,-0.26927,-78.541
941,-2.1406,-79.909
942,-2.1422,-79.892
943,-12.168,-76.964
944,-0.17872,-78.478
945,-2.0937,-79.925
946,-0.29359,-78.563
947,-2.2984,-78.118
948,-0.93172,-78.601
949,1.2113,-77.285
950,-9.1311,-78.497
951,-2.1597,-79.932
952,-0.17359,-78.485
953,-1.0546,-80.467
954,-2.123,-79.895
955,-2.1601,-79.9
956,-2.2202,-79.903
957,-2.2373,-79.934
958,-0.26648,-79.111
959,-0.25,-78.583
960,40.811,-73.855
961,42.45,-73.245
962,-0.26814,-78.554
963,-2.0584,-79.877
964,-9.3,-75.983
965,-12.178,-76.963
966,-7.0518,-78.634
967,-0.13543,-78.486
968,1.1408,-76.653
969,1.2091,-79.042
970,-2.9011,-79.004
971,-2.1595,-79.928
972,-2.8992,-79.015
973,-2.1983,-79.909
974,-0.28731,-78.442
975,-2.1026,-79.931
976,-0.13,-78.486
977,-2.1833,-79.883
978,-2.1543,-79.897
979,-0.14075,-78.465
980,-2.0895,-79.914
981,-0.30797,-78.45
982,-0.20299,-78.494
983,-2.1383,-79.907
984,-3.5928,-79.662
985,-11.971,-76.747
986,-0.27534,-79.481
987,-2.1885,-81.01
988,-0.14664,-78.49
989,-0.99125,-77.816
990,-0.28163,-78.554
991,-0.25721,-79.169
992,16.747,-93.085
993,3.7086,-73.69
994,-0.27701,-79.47
995,-11.944,-76.985
996,0.49657,-76.499
997,0.8759,-79.818
998,-0.96017,-80.468
999,-0.076831,-78.292
1000,-2.141,-79.865
